name,country,country_code,position,price,photo_url
Merchas Doski,Iraq,IRQ,DEF,3.8,
Ali Al Hamadi,Iraq,IRQ,FWD,4.7,
Marko Farji,Iraq,IRQ,MID,4.4,
Ahmed Qasem,Iraq,IRQ,MID,4.4,
Jalal Hassan,Iraq,IRQ,GK,3.9,
Yazan Al Arab,Jordan,JOR,DEF,3.7,
Mousa Al Tamari,Jordan,JOR,FWD,5.6,
Mohammad Abu Al Nadi,Jordan,JOR,DEF,3.5,
Mahmoud Al Mardi,Jordan,JOR,FWD,4.2,
Saed Al Rosan,Jordan,JOR,DEF,3.5,
Mohammad Al Daoud,Jordan,JOR,MID,4.7,
